Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_link,-0.024506,-3.2231E-05,0.033725,0,0,0,0.75842,0.0018267,-0.00016368,-0.00022149,0.0028108,-5.9556E-06,0.0041242,0,0,0,0,0,0,package://exhx5/meshes/body_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/body_link.STL,,goose_body_shell_back_part1-1;yaw_middle_piece-1;goose_body_shell_back_part2-1;nuc_shell-1;goose_body_shell_tail-1;Hbridge-1;goose_body_shell_pants-1;Intel_RealSense_Depth_Camera_D435-1;realsense_mount-1;XH-430-2;XH-430-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
r_hip_yaw_link,6.9389E-16,0.00049037,0.015811,0,0,0,0.017594,8.0769E-06,9.3231E-20,-6.8781E-20,3.8081E-06,4.4924E-07,6.9409E-06,0,0,0,0,0,0,package://exhx5/meshes/r_hip_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/r_hip_yaw_link.STL,,yaw_joints-1/yaw_c-1,1,基准轴1,r_hip_yaw,revolute,0,-0.0539999999999998,-0.024500000000006,0,0,1.57079632679488,body_link,0,0,1,0,0,-1.57,1.57,,,,,,,,0
r_hip_roll_link,0.013265,-0.00034234,-0.01908,0,0,0,0.10053,1.7395E-05,-2.6908E-07,3.1908E-07,2.5171E-05,-1.1436E-12,2.5299E-05,0,0,0,0,0,0,package://exhx5/meshes/r_hip_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/r_hip_roll_link.STL,,yaw_joints-1/bearing_8_22-1;yaw_joints-1/yaw_topbracket2-1;yaw_joints-1/XH-430-1;yaw_joints-1/XH-430-2;yaw_joints-1/y_connector-1;yaw_joints-1/M2.5hat-2;yaw_joints-1/M2.5hat-4;yaw_joints-1/M2.5hat-1,2,基准轴2,r_hip_roll,revolute,0,0,0,1.5708,1.5708,0,r_hip_yaw_link,0,0,1,0,0,-1.57,1.57,,,,,,,,0
r_hip_pitch_link,0.041705,0.0061699,2.177E-08,0,0,0,0.023646,1.2406E-05,-7.7791E-07,9.7606E-13,2.2891E-05,4.5062E-12,1.4533E-05,0,0,0,0,0,0,package://exhx5/meshes/r_hip_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/r_hip_pitch_link.STL,,yaw_joints-1/yaw_thigh-1,3,基准轴3,r_hip_pitch,revolute,0,0,0,1.5708,0,0,r_hip_roll_link,0,0,1,0,0,-1.57,1.57,,,,,,,,0
r_knee_link,0.025579,0.0091776,0.00042921,0,0,0,0.10139,2.4558E-05,4.9361E-07,-1.2228E-07,2.2855E-05,3.2346E-07,2.5943E-05,0,0,0,0,0,0,package://exhx5/meshes/r_knee_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/r_knee_link.STL,,leg_right-1/XL-430_3-3;leg_right-1/FJ3_v2_2-1;leg_right-1/XL-430_3-1,4,基准轴4,r_knee,revolute,0.075954,0,0,0,0.0004216,0.42593,r_hip_pitch_link,-0.0004216,0,1,0,0,-1.57,1.57,,,,,,,,0
r_ank_pitch_link,0.02325,-2.2204E-16,1.3878E-17,0,0,0,0.0095421,3.5492E-06,1.0553E-21,1.8686E-21,2.8994E-06,-8.2951E-22,2.8994E-06,0,0,0,0,0,0,package://exhx5/meshes/r_ank_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/r_ank_pitch_link.STL,,leg_right-1/tmf_x2_2-1,5,基准轴5,r_ank_pitch,revolute,0.059298,0,0,0.00017419,-0.00038393,-0.42593,r_knee_link,0,0,1,0,0,-1.57,1.57,,,,,,,,0
r_ank_roll,0.00474,-0.010189,0.017732,0,0,0,0.1244,0.00013147,1.1537E-08,1.5896E-06,9.5366E-05,-2.4562E-07,4.9024E-05,0,0,0,0,0,0,package://exhx5/meshes/r_ank_roll.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/r_ank_roll.STL,,leg_right-1/XL-430_3-2;leg_right-1/right_foot_assembly_1-1/foot_shorten_shell-1;leg_right-1/right_foot_assembly_1-1/right_foot-1;leg_right-1/right_foot_assembly_1-1/foot_shorten_shell_part1-1,6,基准轴6,r_ank_roll_link,revolute,0.0465,0,0,-1.5708,0,0,r_ank_pitch_link,0,0,1,0,0,-1.57,1.57,,,,,,,,0
l_hip_yaw_link,2.5674E-16,0.00049037,0.015811,0,0,0,0.017594,8.0769E-06,9.4844E-20,-7.0787E-20,3.8081E-06,4.4924E-07,6.9409E-06,0,0,0,0,0,0,package://exhx5/meshes/l_hip_yaw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/l_hip_yaw_link.STL,,yaw_joints-2/yaw_c-1,7,基准轴7,l_hip_yaw,revolute,0,0.054,-0.0245,0,0,1.5708,body_link,-2.8454E-05,0,1,0,0,-1.57,1.57,,,,,,,,0
l_hip_roll_link,0.013576,-0.00035038,-0.020028,0,0,0,0.098221,1.7307E-05,-2.6908E-07,3.1908E-07,2.5083E-05,-1.1436E-12,2.5141E-05,0,0,0,0,0,0,package://exhx5/meshes/l_hip_roll_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/l_hip_roll_link.STL,,yaw_joints-2/XH-430-2;yaw_joints-2/y_connector-1;yaw_joints-2/XH-430-1;yaw_joints-2/yaw_topbracket2-1;yaw_joints-2/M2.5hat-1;yaw_joints-2/M2.5hat-4;yaw_joints-2/M2.5hat-2,8,基准轴8,l_hip_roll,revolute,0,0,0,1.5708,1.5708,0,l_hip_yaw_link,0,0,1,0,0,-1.57,1.57,,,,,,,,0
l_hip_pitch_link,0.041705,0.0061699,2.1346E-08,0,0,0,0.023646,1.2406E-05,-7.7791E-07,8.1343E-13,2.2891E-05,4.6012E-12,1.4533E-05,0,0,0,0,0,0,package://exhx5/meshes/l_hip_pitch_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://exhx5/meshes/l_hip_pitch_link.STL,,yaw_joints-2/yaw_thigh-1,9,基准轴9,l_hip_pitch,revolute,0,0,0,1.5708,0,0,l_hip_roll_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,0
